csa,industry,indust_jobs,total_jobs,pop,natl_prop,expect_jobs,log_ratio,log_ratio_adj
Albany-Schenectady,Transport & Freight,16,286,NA,0.053914291971868686,15.419487503954445,0.036956590457539046,0.11874804798799928
Albuquerque-Santa Fe-Las Vegas,Aerospace & Defense,2,421,NA,0.00630277662862288,2.6534689606502324,-0.2827206451448195,-0.3040798191138476
Albuquerque-Santa Fe-Las Vegas,Auto,8,421,NA,0.023945684179787312,10.081133039690458,-0.2312241193776445,-0.2359668485037838
Albuquerque-Santa Fe-Las Vegas,Construction,9,421,NA,0.019833061591998637,8.349718930231425,0.07499670009012979,0.1690626047626203
Albuquerque-Santa Fe-Las Vegas,Consulting,20,421,NA,0.08290949796802376,34.904898644538,-0.5568949081122025,-0.6667222156119239
Albuquerque-Santa Fe-Las Vegas,Consumer Goods,7,421,NA,0.02590465529408902,10.905859878811476,-0.4433900992834479,-0.5165926759453493
Albuquerque-Santa Fe-Las Vegas,Education,78,421,NA,0.06535176307400287,27.513092254155207,1.0420468533388507,1.4481519741016675
Albuquerque-Santa Fe-Las Vegas,Energy,11,421,NA,0.00945416494293432,3.9802034409753486,1.0165623389854415,1.4144443413768213
Albuquerque-Santa Fe-Las Vegas,Finance,6,421,NA,0.04443579198403621,18.707468425279245,-1.1371633559320857,-1.4342265694201262
Albuquerque-Santa Fe-Las Vegas,Food & Beverages,5,421,NA,0.03308349353904558,13.928150779938187,-1.0244741156436519,-1.285175758758854
Albuquerque-Santa Fe-Las Vegas,Government,79,421,NA,0.015452753510330227,6.505609227849026,2.496783089569103,3.3722896713073673
Albuquerque-Santa Fe-Las Vegas,Healthcare,119,421,NA,0.31487114593726423,132.56075243958824,-0.10791755620965038,-0.07287281083875885
Albuquerque-Santa Fe-Las Vegas,Human Resources,21,421,NA,0.08965030540481347,37.74277857542647,-0.5862717236570014,-0.7055780829546408
Albuquerque-Santa Fe-Las Vegas,Insurance,5,421,NA,0.014576691893996544,6.136787287372545,-0.204863449686576,-0.2011003503627802
Albuquerque-Santa Fe-Las Vegas,Internet & Software,1,421,NA,0.014905215000121675,6.275095515051225,-1.8365887064241089,-2.359336324540024
Albuquerque-Santa Fe-Las Vegas,Manufacturing,7,421,NA,0.03499379456355097,14.73238751125496,-0.7441381532309057,-0.9143834599716879
Albuquerque-Santa Fe-Las Vegas,Organization,4,421,NA,0.013591122575621152,5.721862604336505,-0.35800002139459175,-0.4036496806852287
Albuquerque-Santa Fe-Las Vegas,Real Estate,2,421,NA,0.012337867763366024,5.194242328377096,-0.9544035870364649,-1.1924954898562246
Albuquerque-Santa Fe-Las Vegas,Restaurants & Travel,14,421,NA,0.04296352176769766,18.087642664200715,-0.25617164975840934,-0.26896422800276837
Albuquerque-Santa Fe-Las Vegas,Retail,19,421,NA,0.10019954736816489,42.18400944199742,-0.7976022468905818,-0.9850988759319711
Albuquerque-Santa Fe-Las Vegas,Telecommunications,5,421,NA,0.009381159808239847,3.9494682792689755,0.23585695542548915,0.38182782883854655
Albuquerque-Santa Fe-Las Vegas,Transport & Freight,9,421,NA,0.053914291971868686,22.697916920156718,-0.9250485773085518,-1.1536684644391044
Amarillo-Borger,Auto,3,76,NA,0.023945684179787312,1.8198719976638358,0.4998461210066796,0.7309986905371126
Amarillo-Borger,Construction,2,76,NA,0.019833061591998637,1.5073126809918964,0.2828187967099059,0.44394290296338956
Amarillo-Borger,Consulting,6,76,NA,0.08290949796802376,6.3011218455698055,-0.048968219042088264,0.005097778636158461
Amarillo-Borger,Consumer Goods,1,76,NA,0.02590465529408902,1.9687538023507654,-0.6774007549427108,-0.826111826488144
Amarillo-Borger,Energy,1,76,NA,0.00945416494293432,0.7185165356630083,0.33056655958312126,0.5070974929251199
Amarillo-Borger,Food & Beverages,6,76,NA,0.03308349353904558,2.514345508967464,0.8697469345463531,1.220255836838162
Amarillo-Borger,Government,1,76,NA,0.015452753510330227,1.1744092667850974,-0.16076526950186842,-0.1427729582497984
Amarillo-Borger,Healthcare,26,76,NA,0.31487114593726423,23.93020709123208,0.0829549820963526,0.17958879503120684
Amarillo-Borger,Human Resources,13,76,NA,0.08965030540481347,6.813423210765824,0.6460546894771627,0.9243845506278416
Amarillo-Borger,Manufacturing,1,76,NA,0.03499379456355097,2.659528386829874,-0.9781488088901686,-1.2239026105144828
Amarillo-Borger,Media,1,76,NA,0.0077142092327160345,0.5862799016864186,0.5339579555135427,0.7761174310076078
Amarillo-Borger,Organization,1,76,NA,0.013591122575621152,1.0329253157472076,-0.03239488911843203,0.027018844517469776
Amarillo-Borger,Restaurants & Travel,1,76,NA,0.04296352176769766,3.265227654345022,-1.1833294859776176,-1.4952891792200298
Amarillo-Borger,Retail,12,76,NA,0.10019954736816489,7.615165599980531,0.4547649171270284,0.671371081311516
Amarillo-Borger,Telecommunications,1,76,NA,0.009381159808239847,0.7129681454262283,0.33831853638743914,0.5173508092484312
Amarillo-Borger,Transport & Freight,4,76,NA,0.053914291971868686,4.09748618986202,-0.0240793001288302,0.03801763443613173
Appleton-Oshkosh-Neenah,Aerospace & Defense,4,192,NA,0.00630277662862288,1.210133112695593,1.1955639970697258,1.6512046760714625
Appleton-Oshkosh-Neenah,Agriculture,5,192,NA,0.003954444795950649,0.7592534008225246,1.884857608313681,2.5629134716634776
Appleton-Oshkosh-Neenah,Auto,1,192,NA,0.023945684179787312,4.597571362519163,-1.5255281994028804,-1.9479055560163403
Appleton-Oshkosh-Neenah,Construction,4,192,NA,0.019833061591998637,3.8079478256637382,0.04920394552840075,0.13494727159706768
Appleton-Oshkosh-Neenah,Consulting,18,192,NA,0.08290949796802376,15.91862360986056,0.12288203788457108,0.2323991611080346
Appleton-Oshkosh-Neenah,Consumer Goods,10,192,NA,0.02590465529408902,4.973693816465092,0.6984223063098844,0.9936496882872814
Appleton-Oshkosh-Neenah,Energy,2,192,NA,0.00945416494293432,1.8151996690433894,0.09695170840161609,0.19810186155879794
Appleton-Oshkosh-Neenah,Finance,5,192,NA,0.04443579198403621,8.531672060934952,-0.5343474510714403,-0.6368993439546664
Appleton-Oshkosh-Neenah,Food & Beverages,1,192,NA,0.03308349353904558,6.352030759496751,-1.8487745664231523,-2.375454210389758
Appleton-Oshkosh-Neenah,Government,5,192,NA,0.015452753510330227,2.9669286739834035,0.5219106111907816,0.7601827558511606
Appleton-Oshkosh-Neenah,Healthcare,69,192,NA,0.31487114593726423,60.455260019954736,0.13220291693067945,0.2447276192140807
Appleton-Oshkosh-Neenah,Human Resources,24,192,NA,0.08965030540481347,17.21285863772419,0.3323971306221209,0.5095187364851756
Appleton-Oshkosh-Neenah,Insurance,4,192,NA,0.014576691893996544,2.7987248436473364,0.3571304606538142,0.5422327993552494
Appleton-Oshkosh-Neenah,Internet & Software,2,192,NA,0.014905215000121675,2.8618012800233616,-0.35830406420956384,-0.40405182935471423
Appleton-Oshkosh-Neenah,Manufacturing,6,192,NA,0.03499379456355097,6.718808556201786,-0.11315137140356406,-0.07979542736814
Appleton-Oshkosh-Neenah,Media,1,192,NA,0.0077142092327160345,1.4811281726814787,-0.39280407622790775,-0.44968400103318085
Appleton-Oshkosh-Neenah,Pharmaceuticals,1,192,NA,0.003090550702066045,0.5933857347966807,0.5219106111907816,0.7601827558511606
Appleton-Oshkosh-Neenah,Restaurants & Travel,8,192,NA,0.04296352176769766,8.24899617939795,-0.03064997603923224,0.02932679076258151
Appleton-Oshkosh-Neenah,Retail,22,192,NA,0.10019954736816489,19.23831309468766,0.1341386889558934,0.24728800908692966
Appleton-Oshkosh-Neenah,Telecommunications,1,192,NA,0.009381159808239847,1.8011826831820505,-0.5884434953540112,-0.7084506227923572
Appleton-Oshkosh-Neenah,Transport & Freight,11,192,NA,0.053914291971868686,10.351544058598787,0.060759579808199474,0.1502315760497437
Asheville-Brevard,Agriculture,1,145,NA,0.003954444795950649,0.573394495412844,0.5561813254867879,0.8055116420401719
Asheville-Brevard,Auto,1,145,NA,0.023945684179787312,3.4721242060691604,-1.2447665697956736,-1.5765502394978996
Asheville-Brevard,Construction,5,145,NA,0.019833061591998637,2.8757939308398024,0.5531091264498177,0.8014481329083228
Asheville-Brevard,Consulting,5,145,NA,0.08290949796802376,12.021877205363445,-0.8772901779702863,-1.090499805931573
Asheville-Brevard,Consumer Goods,3,145,NA,0.02590465529408902,3.756175017642908,-0.22478886840884452,-0.227455127497827
Asheville-Brevard,Education,1,145,NA,0.06535176307400287,9.476005645730416,-2.248762882088934,-2.9045072286941207
Asheville-Brevard,Electronics,2,145,NA,0.003333901151047624,0.48341566690190546,1.4200255819884002,1.9480935459299296
Asheville-Brevard,Energy,2,145,NA,0.00945416494293432,1.3708539167254765,0.3777133380088232,0.5694571780772391
Asheville-Brevard,Finance,2,145,NA,0.04443579198403621,6.44318983768525,-1.1698765533383884,-1.477495372903506
Asheville-Brevard,Food & Beverages,2,145,NA,0.03308349353904558,4.797106563161608,-0.8748657562559998,-1.0872930931968499
Asheville-Brevard,Government,3,145,NA,0.015452753510330227,2.240649258997883,0.29184661703199805,0.45588374074051896
Asheville-Brevard,Healthcare,72,145,NA,0.31487114593726423,45.656316160903316,0.4555241609566826,0.6723753112451802
Asheville-Brevard,Human Resources,10,145,NA,0.08965030540481347,12.999294283697953,-0.2623099771245717,-0.27708321671623365
Asheville-Brevard,Insurance,2,145,NA,0.014576691893996544,2.113620324629499,-0.05525509029892401,-0.0032176848007762207
Asheville-Brevard,Manufacturing,4,145,NA,0.03499379456355097,5.074100211714891,-0.23785484990452124,-0.24473712468789663
Asheville-Brevard,Restaurants & Travel,13,145,NA,0.04296352176769766,6.22971065631616,0.7356194693496758,1.0428493038955646
Asheville-Brevard,Retail,14,145,NA,0.10019954736816489,14.528934368383908,-0.03708480517995658,0.020815627696464174
Asheville-Brevard,Telecommunications,1,145,NA,0.009381159808239847,1.3602681721947778,-0.3076818657468042,-0.3370953062739161
Asheville-Brevard,Transport & Freight,11,145,NA,0.053914291971868686,7.81757233592096,0.3415212094154065,0.5215868925681847
Atlanta--Athens-Clarke County--Sandy Springs,Aerospace & Defense,4,2749,NA,0.00630277662862288,17.326332952084297,-1.4659331190677385,-1.8690808606626328
Atlanta--Athens-Clarke County--Sandy Springs,Agriculture,3,2749,NA,0.003954444795950649,10.870768744068334,-1.2874651315897738,-1.6330263966997
Atlanta--Athens-Clarke County--Sandy Springs,Auto,123,2749,NA,0.023945684179787312,65.82668581023532,0.6251590398320728,0.8967464770112051
Atlanta--Athens-Clarke County--Sandy Springs,Construction,83,2749,NA,0.019833061591998637,54.52108631640425,0.420253076067644,0.6257232637013534
Atlanta--Athens-Clarke County--Sandy Springs,Consulting,311,2749,NA,0.08290949796802376,227.9182099140973,0.3108060760301762,0.4809608707854505
Atlanta--Athens-Clarke County--Sandy Springs,Consumer Goods,73,2749,NA,0.02590465529408902,71.21189740345072,0.02479953832676554,0.10266826547544368
Atlanta--Athens-Clarke County--Sandy Springs,Education,153,2749,NA,0.06535176307400287,179.6519966904339,-0.1605837064411698,-0.14253281002168003
Atlanta--Athens-Clarke County--Sandy Springs,Electronics,3,2749,NA,0.003333901151047624,9.164894264229918,-1.1167680556481066,-1.4072502934844087
Atlanta--Athens-Clarke County--Sandy Springs,Energy,12,2749,NA,0.00945416494293432,25.989499428126447,-0.7727859385077931,-0.952275059988166
Atlanta--Athens-Clarke County--Sandy Springs,Finance,136,2749,NA,0.04443579198403621,122.15399216411554,0.10737240609304712,0.21188501809253898
Atlanta--Athens-Clarke County--Sandy Springs,Food & Beverages,91,2749,NA,0.03308349353904558,90.94652373883629,5.878239562334438e-4,0.07064412860851535
Atlanta--Athens-Clarke County--Sandy Springs,Government,12,2749,NA,0.015452753510330227,42.47961939989779,-1.2641177675927826,-1.602145511163084
Atlanta--Athens-Clarke County--Sandy Springs,Healthcare,692,2749,NA,0.31487114593726423,865.5807801815394,-0.22381474818637445,-0.22616668675167348
Atlanta--Athens-Clarke County--Sandy Springs,Human Resources,270,2749,NA,0.08965030540481347,246.44868955783224,0.09126814313508601,0.19058437356922361
Atlanta--Athens-Clarke County--Sandy Springs,Insurance,32,2749,NA,0.014576691893996544,40.0713260165965,-0.22492511380381405,-0.22763533535544586
Atlanta--Athens-Clarke County--Sandy Springs,Internet & Software,36,2749,NA,0.014905215000121675,40.974436035334485,-0.1294294224508633,-0.10132593638901365
Atlanta--Athens-Clarke County--Sandy Springs,Manufacturing,133,2749,NA,0.03499379456355097,96.19794125520163,0.3239411714526704,0.4983342829748028
Atlanta--Athens-Clarke County--Sandy Springs,Media,23,2749,NA,0.0077142092327160345,21.20636118073638,0.08119302356377785,0.17725830325613037
Atlanta--Athens-Clarke County--Sandy Springs,Organization,10,2749,NA,0.013591122575621152,37.361995960382544,-1.3180689440033009,-1.6735051774412
Atlanta--Athens-Clarke County--Sandy Springs,Pharmaceuticals,5,2749,NA,0.003090550702066045,8.495923879979559,-0.5301485925125821,-0.6313456347411872
Atlanta--Athens-Clarke County--Sandy Springs,Real Estate,40,2749,NA,0.012337867763366024,33.9167984814932,0.1649690320346617,0.28806641541120415
Atlanta--Athens-Clarke County--Sandy Springs,Restaurants & Travel,116,2749,NA,0.04296352176769766,118.10672133940086,-0.01799844275016763,0.04606060925329589
Atlanta--Athens-Clarke County--Sandy Springs,Retail,204,2749,NA,0.10019954736816489,275.44855571508526,-0.3002808866956701,-0.32730624456371976
Atlanta--Athens-Clarke County--Sandy Springs,Telecommunications,29,2749,NA,0.009381159808239847,25.788808312851337,0.11735521849499858,0.2250889963728237
Atlanta--Athens-Clarke County--Sandy Springs,Transport & Freight,265,2749,NA,0.053914291971868686,148.210388630667,0.5810970168585868,0.838466908999531
Bend-Redmond-Prineville,Auto,6,73,122259,0.023945684179787312,1.7480349451244737,1.233267200704565,1.7010736169917837
Bend-Redmond-Prineville,Education,1,73,122259,0.06535176307400287,4.77067870440221,-1.5624885808167506,-1.996791987391569
Bend-Redmond-Prineville,Energy,1,73,122259,0.00945416494293432,0.6901540408342054,0.37084045872106114,0.5603666187053241
Bend-Redmond-Prineville,Food & Beverages,1,73,122259,0.03308349353904558,2.415095028350327,-0.8817386355437619,-1.096383652568765
Bend-Redmond-Prineville,Government,5,73,122259,0.015452753510330227,1.1280510062541067,1.4889465420701717,2.0392533136721527
Bend-Redmond-Prineville,Healthcare,28,73,122259,0.31487114593726423,22.98559365342029,0.19733685338801454,0.330878399942363
Bend-Redmond-Prineville,Human Resources,10,73,122259,0.08965030540481347,6.544472294551384,0.4239643241476115,0.6306320245863181
Bend-Redmond-Prineville,Insurance,3,73,122259,0.014576691893996544,1.0640985082617478,1.0364843190814237,1.4407945703399734
Bend-Redmond-Prineville,Manufacturing,1,73,122259,0.03499379456355097,2.554547003139221,-0.9378749097522286,-1.1706334847342783
Bend-Redmond-Prineville,Organization,2,73,122259,0.013591122575621152,0.9921519480203441,0.7010261905794531,0.9970937709721407
Bend-Redmond-Prineville,Restaurants & Travel,4,73,122259,0.04296352176769766,3.136337089041929,0.24323877428021295,0.3915915479091079
Bend-Redmond-Prineville,Retail,11,73,122259,0.10019954736816489,7.314566957876036,0.4080274392753385,0.609552766233456
Bend-Redmond-Prineville,Transport & Freight,3,73,122259,0.053914291971868686,3.935743313946414,-0.27148747344267116,-0.2892220266199327
Birmingham-Hoover-Talladega,Auto,3,109,NA,0.023945684179787312,2.610079575596817,0.13923157906386704,0.2540242280663042
Birmingham-Hoover-Talladega,Construction,4,109,NA,0.019833061591998637,2.1618037135278514,0.6153514353270386,0.8837742411670477
Birmingham-Hoover-Talladega,Consulting,8,109,NA,0.08290949796802376,9.03713527851459,-0.12190068853311997,-0.0913678969983813
Birmingham-Hoover-Talladega,Consumer Goods,9,109,NA,0.02590465529408902,2.8236074270557032,1.159209280450696,1.6031193400663764
Birmingham-Hoover-Talladega,Energy,3,109,NA,0.00945416494293432,1.030503978779841,1.0685643063084183,1.4832258449669757
Birmingham-Hoover-Talladega,Finance,13,109,NA,0.04443579198403621,4.843501326259947,0.9873114837546337,1.3757550781115078
Birmingham-Hoover-Talladega,Food & Beverages,2,109,NA,0.03308349353904558,3.606100795755968,-0.5894798960645692,-0.7098214401453111
Birmingham-Hoover-Talladega,Healthcare,21,109,NA,0.31487114593726423,34.3209549071618,-0.49123366014451897,-0.5798739751449187
Birmingham-Hoover-Talladega,Human Resources,3,109,NA,0.08965030540481347,9.771883289124668,-1.180896921259077,-1.4920716959682443
Birmingham-Hoover-Talladega,Insurance,2,109,NA,0.014576691893996544,1.5888594164456233,0.23013076989250678,0.37425396825076274
Birmingham-Hoover-Talladega,Manufacturing,1,109,NA,0.03499379456355097,3.8143236074270557,-1.3387633508329813,-1.7008770729852913
Birmingham-Hoover-Talladega,Media,2,109,NA,0.0077142092327160345,0.8408488063660478,0.8664905941306754,1.2159487692112658
Birmingham-Hoover-Talladega,Organization,1,109,NA,0.013591122575621152,1.4814323607427056,-0.3930094310612446,-0.4499556179533386
Birmingham-Hoover-Talladega,Real Estate,2,109,NA,0.012337867763366024,1.3448275862068966,0.39688136441677296,0.594810174224599
Birmingham-Hoover-Talladega,Restaurants & Travel,6,109,NA,0.04296352176769766,4.683023872679045,0.2478154413076247,0.3976449734962928
Birmingham-Hoover-Talladega,Retail,11,109,NA,0.10019954736816489,10.921750663129973,0.007138998194585888,0.07930917798244298
Birmingham-Hoover-Talladega,Transport & Freight,25,109,NA,0.053914291971868686,5.8766578249336865,1.4478876216766674,1.9849458628998844
Bloomington-Bedford,Construction,1,52,93358,0.019833061591998637,1.031319202783929,-0.030838762145135534,0.02907708882072399
Bloomington-Bedford,Consulting,2,52,93358,0.08290949796802376,4.311293894337235,-0.7680908860052943,-0.9460650493447053
Bloomington-Bedford,Food & Beverages,1,52,93358,0.03308349353904558,1.7203416640303701,-0.5425229129767983,-0.6477127918171686
Bloomington-Bedford,Healthcare,18,52,93358,0.31487114593726423,16.37329958873774,0.094719823675939,0.19514981195039513
Bloomington-Bedford,Human Resources,4,52,93358,0.08965030540481347,4.661815881050301,-0.15311068515957982,-0.13264846012936607
Bloomington-Bedford,Internet & Software,1,52,93358,0.014905215000121675,0.7750711800063271,0.254800408676845,0.4068837885434085
Bloomington-Bedford,Manufacturing,8,52,93358,0.03499379456355097,1.8196773173046505,1.480782354494571,2.028454778040718
Bloomington-Bedford,Restaurants & Travel,1,52,93358,0.04296352176769766,2.2341031319202784,-0.8038398642727139,-0.993349192688229
Bloomington-Bedford,Retail,8,52,93358,0.10019954736816489,5.210376463144574,0.42878943072376763,0.6370140540051189
Bloomington-Bedford,Telecommunications,1,52,93358,0.009381159808239847,0.48782031002847204,0.7178081580923429,1.0192907957802322
Bloomington-Bedford,Transport & Freight,10,52,93358,0.053914291971868686,2.8035431825371715,1.2717010534502287,1.7519089664352132
Bloomington-Pontiac,Agriculture,1,103,143724,0.003954444795950649,0.4073078139829168,0.8981860796777265,1.2578714745467412
Bloomington-Pontiac,Auto,2,103,143724,0.023945684179787312,2.4664054705180933,-0.20961463504478955,-0.20738460631686334
Bloomington-Pontiac,Construction,2,103,143724,0.019833061591998637,2.0428053439758598,-0.021176851233398724,0.04185661994761164
Bloomington-Pontiac,Consulting,1,103,143724,0.08290949796802376,8.539678290706448,-2.144723336213448,-2.766897119566751
Bloomington-Pontiac,Consumer Goods,5,103,143724,0.02590465529408902,2.668179495291169,0.6280415095480849,0.9005590366378252
Bloomington-Pontiac,Education,18,103,143724,0.06535176307400287,6.731231596622295,0.9836136299981696,1.3708640335122448
Bloomington-Pontiac,Energy,3,103,143724,0.00945416494293432,0.9737789891222349,1.1251832003079263,1.5581140244220062
Bloomington-Pontiac,Finance,7,103,143724,0.04443579198403621,4.576886574355729,0.4248911693479183,0.6318579360230235
Bloomington-Pontiac,Food & Beverages,2,103,143724,0.03308349353904558,3.4075998345216947,-0.5328610020650614,-0.6349332606902808
Bloomington-Pontiac,Healthcare,25,103,143724,0.31487114593726423,32.43172803153821,-0.26026137900023316,-0.2743735950134848
Bloomington-Pontiac,Human Resources,10,103,143724,0.08965030540481347,9.233981456695787,0.07969477706636707,0.17527661579033593
Bloomington-Pontiac,Insurance,6,103,143724,0.014576691893996544,1.5013992650816441,1.3853619525601244,1.9022449622184576
Bloomington-Pontiac,Manufacturing,4,103,143724,0.03499379456355097,3.60436084004575,0.10414990428641728,0.2076227078186726
Bloomington-Pontiac,Media,3,103,143724,0.0077142092327160345,0.7945635509697515,1.3285745962383477,1.827133962504494
Bloomington-Pontiac,Restaurants & Travel,3,103,143724,0.04296352176769766,4.425242742072859,-0.3887128452528127,-0.44427264772314334
Bloomington-Pontiac,Retail,10,103,143724,0.10019954736816489,10.320553378920984,-0.031552287610231,0.02813332925035393
Bloomington-Pontiac,Transport & Freight,7,103,143724,0.053914291971868686,5.553172073102474,0.23154083986328788,0.3761190271658472
Bloomsburg-Berwick-Sunbury,Construction,1,88,30288,0.019833061591998637,1.74530942009588,-0.5569318580419148,-0.6667710882191347
Bloomsburg-Berwick-Sunbury,Consumer Goods,1,88,30288,0.02590465529408902,2.2796096658798337,-0.8240042291345863,-1.0200200169962017
Bloomsburg-Berwick-Sunbury,Education,1,88,30288,0.06535176307400287,5.750955150512253,-1.749365954146566,-2.243969303679831
Bloomsburg-Berwick-Sunbury,Finance,1,88,30288,0.04443579198403621,3.9103496945951863,-1.3636268059559657,-1.733763248563683
Bloomsburg-Berwick-Sunbury,Food & Beverages,1,88,30288,0.03308349353904558,2.9113474314360106,-1.0686160088735772,-1.343560968857027
Bloomsburg-Berwick-Sunbury,Government,1,88,30288,0.015452753510330227,1.35984230890906,-0.30736874369374384,-0.33668114875785593
Bloomsburg-Berwick-Sunbury,Healthcare,75,88,30288,0.31487114593726423,27.70866084247925,0.9957430834193057,1.3869073120069
Bloomsburg-Berwick-Sunbury,Human Resources,6,88,30288,0.08965030540481347,7.889226875623586,-0.2737386729481946,-0.29219962333102667
Bloomsburg-Berwick-Sunbury,Restaurants & Travel,2,88,30288,0.04296352176769766,3.780789915557394,-0.6367857796095477,-0.7723915690536207
Bloomsburg-Berwick-Sunbury,Retail,2,88,30288,0.10019954736816489,8.81756016839851,-1.483598026292902,-1.892445724383673
Bloomsburg-Berwick-Sunbury,Transport & Freight,1,88,30288,0.053914291971868686,4.744457693524445,-1.5569771354405961,-1.9895021574208591
Boise City-Mountain Home-Ontario,Agriculture,1,250,NA,0.003954444795950649,0.9886111989876623,0.01145415004511583,0.08501670498148683
Boise City-Mountain Home-Ontario,Auto,6,250,NA,0.023945684179787312,5.986421044946828,0.0022657239907097203,0.0728634386305471
Boise City-Mountain Home-Ontario,Construction,5,250,NA,0.019833061591998637,4.958265397999659,0.008381951008145719,0.08095319584963785
Boise City-Mountain Home-Ontario,Consulting,4,250,NA,0.08290949796802376,20.72737449200594,-1.6451609047261682,-2.106140287783072
Boise City-Mountain Home-Ontario,Consumer Goods,3,250,NA,0.02590465529408902,6.4761638235222545,-0.7695160438505165,-0.947950064556512
Boise City-Mountain Home-Ontario,Education,7,250,NA,0.06535176307400287,16.337940768500715,-0.8475799084752925,-1.0512028886583789
Boise City-Mountain Home-Ontario,Energy,2,250,NA,0.00945416494293432,2.36354123573358,-0.16701383743284878,-0.15103775898144592
Boise City-Mountain Home-Ontario,Finance,13,250,NA,0.04443579198403621,11.108947996009052,0.15719844812153108,0.2777884880012841
Boise City-Mountain Home-Ontario,Food & Beverages,10,250,NA,0.03308349353904558,8.270873384761394,0.18984498073642833,0.320969115886212
Boise City-Mountain Home-Ontario,Government,5,250,NA,0.015452753510330227,3.863188377582557,0.2579450653563167,0.41104313531091663
Boise City-Mountain Home-Ontario,Healthcare,126,250,NA,0.31487114593726423,78.71778648431605,0.4704127734504334,0.6920680499319888
Boise City-Mountain Home-Ontario,Human Resources,16,250,NA,0.08965030540481347,22.41257635120337,-0.33703352332050823,-0.37591789789326596
Boise City-Mountain Home-Ontario,Insurance,1,250,NA,0.014576691893996544,3.644172973499136,-1.2931294463005414,-1.640518422533928
Boise City-Mountain Home-Ontario,Internet & Software,1,250,NA,0.014905215000121675,3.726303750030419,-1.315416790603974,-1.669997250569425
Boise City-Mountain Home-Ontario,Manufacturing,4,250,NA,0.03499379456355097,8.748448640887743,-0.7825820253461934,-0.9652320617465817
Boise City-Mountain Home-Ontario,Organization,1,250,NA,0.013591122575621152,3.3977806439052882,-1.2231224666943474,-1.5479222080635628
Boise City-Mountain Home-Ontario,Real Estate,1,250,NA,0.012337867763366024,3.084466940841506,-1.1263788517762752,-1.4199622165600918
Boise City-Mountain Home-Ontario,Restaurants & Travel,8,250,NA,0.04296352176769766,10.740880441924414,-0.29461552187369705,-0.3198128297776623
Boise City-Mountain Home-Ontario,Retail,38,250,NA,0.10019954736816489,25.04988684204122,0.41671684948949855,0.6210459987130951
Boise City-Mountain Home-Ontario,Telecommunications,2,250,NA,0.009381159808239847,2.3452899520599617,-0.15926186062853087,-0.1407844426581345
Boise City-Mountain Home-Ontario,Transport & Freight,8,250,NA,0.053914291971868686,13.478572992967171,-0.5216596971448001,-0.6201176174704338
Boston-Worcester-Providence,Aerospace & Defense,43,3296,NA,0.00630277662862288,20.77395176794101,0.7275002326418168,1.0321102234815018
